,unnamed: 0,order,element,notes,base_value,late,goe_total,aggregate_score,judge,score,event,name,country,attempt_id
161,1757,1,3A,,8.0,False,-1.83,6.17,9,-3,2020 European Championships Mens Short Program,Maurizio Zandron,AUT,17
162,1891,2,3A,,8.0,False,-2.86,5.14,1,-4,2020 European Championships Mens Short Program,Roman Galay,FIN,18
163,1898,2,3A,,8.0,False,-2.86,5.14,2,-3,2020 European Championships Mens Short Program,Roman Galay,FIN,18
164,1905,2,3A,,8.0,False,-2.86,5.14,3,-3,2020 European Championships Mens Short Program,Roman Galay,FIN,18
165,1912,2,3A,,8.0,False,-2.86,5.14,4,-3,2020 European Championships Mens Short Program,Roman Galay,FIN,18
166,1919,2,3A,,8.0,False,-2.86,5.14,5,-4,2020 European Championships Mens Short Program,Roman Galay,FIN,18
167,1926,2,3A,,8.0,False,-2.86,5.14,6,-4,2020 European Championships Mens Short Program,Roman Galay,FIN,18
168,1933,2,3A,,8.0,False,-2.86,5.14,7,-2,2020 European Championships Mens Short Program,Roman Galay,FIN,18
169,1940,2,3A,,8.0,False,-2.86,5.14,8,-5,2020 European Championships Mens Short Program,Roman Galay,FIN,18
170,1947,2,3A,,8.0,False,-2.86,5.14,9,-4,2020 European Championships Mens Short Program,Roman Galay,FIN,18
171,2211,7,3A,,8.8,True,2.29,11.09,1,1,2020 European Championships Mens Free Skate,Dmitri Aliev,RUS,19
172,2223,7,3A,,8.8,True,2.29,11.09,2,4,2020 European Championships Mens Free Skate,Dmitri Aliev,RUS,19
173,2235,7,3A,,8.8,True,2.29,11.09,3,2,2020 European Championships Mens Free Skate,Dmitri Aliev,RUS,19
174,2247,7,3A,,8.8,True,2.29,11.09,4,3,2020 European Championships Mens Free Skate,Dmitri Aliev,RUS,19
175,2259,7,3A,,8.8,True,2.29,11.09,5,3,2020 European Championships Mens Free Skate,Dmitri Aliev,RUS,19
176,2271,7,3A,,8.8,True,2.29,11.09,6,3,2020 European Championships Mens Free Skate,Dmitri Aliev,RUS,19
177,2283,7,3A,,8.8,True,2.29,11.09,7,3,2020 European Championships Mens Free Skate,Dmitri Aliev,RUS,19
178,2295,7,3A,,8.8,True,2.29,11.09,8,3,2020 European Championships Mens Free Skate,Dmitri Aliev,RUS,19
179,2307,7,3A,,8.8,True,2.29,11.09,9,3,2020 European Championships Mens Free Skate,Dmitri Aliev,RUS,19
180,2316,4,3A,,8.0,False,0.91,8.91,1,2,2020 European Championships Mens Free Skate,Daniel Grassl,ITA,20
181,2328,4,3A,,8.0,False,0.91,8.91,2,0,2020 European Championships Mens Free Skate,Daniel Grassl,ITA,20
182,2340,4,3A,,8.0,False,0.91,8.91,3,2,2020 European Championships Mens Free Skate,Daniel Grassl,ITA,20
183,2352,4,3A,,8.0,False,0.91,8.91,4,0,2020 European Championships Mens Free Skate,Daniel Grassl,ITA,20
184,2364,4,3A,,8.0,False,0.91,8.91,5,2,2020 European Championships Mens Free Skate,Daniel Grassl,ITA,20
185,2376,4,3A,,8.0,False,0.91,8.91,6,1,2020 European Championships Mens Free Skate,Daniel Grassl,ITA,20
186,2388,4,3A,,8.0,False,0.91,8.91,7,2,2020 European Championships Mens Free Skate,Daniel Grassl,ITA,20
187,2400,4,3A,,8.0,False,0.91,8.91,8,1,2020 European Championships Mens Free Skate,Daniel Grassl,ITA,20
188,2412,4,3A,,8.0,False,0.91,8.91,9,0,2020 European Championships Mens Free Skate,Daniel Grassl,ITA,20
189,2422,2,3A,,8.0,False,2.4,10.4,1,2,2020 European Championships Mens Free Skate,Morisi Kvitelashvili,GEO,21
190,2434,2,3A,,8.0,False,2.4,10.4,2,2,2020 European Championships Mens Free Skate,Morisi Kvitelashvili,GEO,21
191,2446,2,3A,,8.0,False,2.4,10.4,3,3,2020 European Championships Mens Free Skate,Morisi Kvitelashvili,GEO,21
192,2458,2,3A,,8.0,False,2.4,10.4,4,4,2020 European Championships Mens Free Skate,Morisi Kvitelashvili,GEO,21
193,2470,2,3A,,8.0,False,2.4,10.4,5,4,2020 European Championships Mens Free Skate,Morisi Kvitelashvili,GEO,21
194,2482,2,3A,,8.0,False,2.4,10.4,6,3,2020 European Championships Mens Free Skate,Morisi Kvitelashvili,GEO,21
195,2494,2,3A,,8.0,False,2.4,10.4,7,3,2020 European Championships Mens Free Skate,Morisi Kvitelashvili,GEO,21
196,2506,2,3A,,8.0,False,2.4,10.4,8,3,2020 European Championships Mens Free Skate,Morisi Kvitelashvili,GEO,21
197,2518,2,3A,,8.0,False,2.4,10.4,9,3,2020 European Championships Mens Free Skate,Morisi Kvitelashvili,GEO,21
198,2531,3,3A,,8.0,False,-1.37,6.63,1,-2,2020 European Championships Mens Free Skate,Artur Danielian,RUS,22
199,2543,3,3A,,8.0,False,-1.37,6.63,2,-2,2020 European Championships Mens Free Skate,Artur Danielian,RUS,22
200,2555,3,3A,,8.0,False,-1.37,6.63,3,-1,2020 European Championships Mens Free Skate,Artur Danielian,RUS,22
201,2567,3,3A,,8.0,False,-1.37,6.63,4,0,2020 European Championships Mens Free Skate,Artur Danielian,RUS,22
202,2579,3,3A,,8.0,False,-1.37,6.63,5,-1,2020 European Championships Mens Free Skate,Artur Danielian,RUS,22
203,2591,3,3A,,8.0,False,-1.37,6.63,6,-3,2020 European Championships Mens Free Skate,Artur Danielian,RUS,22
204,2603,3,3A,,8.0,False,-1.37,6.63,7,-2,2020 European Championships Mens Free Skate,Artur Danielian,RUS,22
205,2615,3,3A,,8.0,False,-1.37,6.63,8,-2,2020 European Championships Mens Free Skate,Artur Danielian,RUS,22
206,2627,3,3A,,8.0,False,-1.37,6.63,9,-2,2020 European Championships Mens Free Skate,Artur Danielian,RUS,22
207,2643,7,3A,,8.8,True,2.29,11.09,1,3,2020 European Championships Mens Free Skate,Matteo Rizzo,ITA,23
208,2655,7,3A,,8.8,True,2.29,11.09,2,5,2020 European Championships Mens Free Skate,Matteo Rizzo,ITA,23
209,2667,7,3A,,8.8,True,2.29,11.09,3,3,2020 European Championships Mens Free Skate,Matteo Rizzo,ITA,23
210,2679,7,3A,,8.8,True,2.29,11.09,4,3,2020 European Championships Mens Free Skate,Matteo Rizzo,ITA,23
211,2691,7,3A,,8.8,True,2.29,11.09,5,3,2020 European Championships Mens Free Skate,Matteo Rizzo,ITA,23
212,2703,7,3A,,8.8,True,2.29,11.09,6,3,2020 European Championships Mens Free Skate,Matteo Rizzo,ITA,23
213,2715,7,3A,,8.8,True,2.29,11.09,7,2,2020 European Championships Mens Free Skate,Matteo Rizzo,ITA,23
214,2727,7,3A,,8.8,True,2.29,11.09,8,3,2020 European Championships Mens Free Skate,Matteo Rizzo,ITA,23
215,2739,7,3A,,8.8,True,2.29,11.09,9,2,2020 European Championships Mens Free Skate,Matteo Rizzo,ITA,23
216,2746,2,3A,,8.0,False,1.03,9.03,1,0,2020 European Championships Mens Free Skate,Adam Siao Him Fa,FRA,24
217,2758,2,3A,,8.0,False,1.03,9.03,2,2,2020 European Championships Mens Free Skate,Adam Siao Him Fa,FRA,24
218,2770,2,3A,,8.0,False,1.03,9.03,3,1,2020 European Championships Mens Free Skate,Adam Siao Him Fa,FRA,24
219,2782,2,3A,,8.0,False,1.03,9.03,4,1,2020 European Championships Mens Free Skate,Adam Siao Him Fa,FRA,24
220,2794,2,3A,,8.0,False,1.03,9.03,5,2,2020 European Championships Mens Free Skate,Adam Siao Him Fa,FRA,24
221,2806,2,3A,,8.0,False,1.03,9.03,6,1,2020 European Championships Mens Free Skate,Adam Siao Him Fa,FRA,24
222,2818,2,3A,,8.0,False,1.03,9.03,7,1,2020 European Championships Mens Free Skate,Adam Siao Him Fa,FRA,24
223,2830,2,3A,,8.0,False,1.03,9.03,8,2,2020 European Championships Mens Free Skate,Adam Siao Him Fa,FRA,24
224,2842,2,3A,,8.0,False,1.03,9.03,9,1,2020 European Championships Mens Free Skate,Adam Siao Him Fa,FRA,24
225,2965,5,3A,,8.0,False,-1.37,6.63,1,-2,2020 European Championships Mens Free Skate,Vladimir Litvintsev,AZE,25
